Date,anemia,crescimento progressivo das feridas,indisposicao,palidez,perda de peso
2008-11-02,49.0,0.0,0.0,0.0,4.0
2008-11-09,50.0,0.0,0.0,0.0,4.0
2008-11-16,22.0,0.0,0.0,0.0,6.0
2008-11-23,25.0,0.0,0.0,0.0,7.0
2008-11-30,44.0,0.0,0.0,0.0,9.0
2008-12-07,18.0,0.0,0.0,0.0,9.0
2008-12-14,32.0,0.0,0.0,0.0,9.0
2008-12-21,32.0,0.0,0.0,0.0,6.0
2008-12-28,7.0,0.0,0.0,0.0,10.0
2009-01-04,22.0,0.0,0.0,0.0,13.0
2009-01-11,39.0,0.0,0.0,0.0,13.0
2009-01-18,42.0,0.0,0.0,4.0,4.0
2009-01-25,37.0,0.0,0.0,0.0,4.0
2009-02-01,33.0,0.0,0.0,0.0,8.0
2009-02-08,32.0,0.0,0.0,0.0,8.0
2009-02-15,33.0,0.0,0.0,0.0,4.0
2009-02-22,20.0,0.0,0.0,0.0,4.0
2009-03-01,44.0,0.0,0.0,0.0,4.0
2009-03-08,38.0,0.0,0.0,0.0,4.0
2009-03-15,71.0,0.0,0.0,0.0,4.0
2009-03-22,52.0,0.0,0.0,4.0,4.0
2009-03-29,56.0,0.0,0.0,4.0,4.0
2009-04-05,25.0,0.0,0.0,4.0,4.0
2009-04-12,53.0,0.0,0.0,4.0,4.0
2009-04-19,32.0,0.0,0.0,4.0,4.0
2009-04-26,62.0,0.0,0.0,4.0,4.0
2009-05-03,52.0,0.0,0.0,4.0,7.0
2009-05-10,68.0,0.0,0.0,4.0,11.0
2009-05-17,51.0,0.0,0.0,4.0,4.0
2009-05-24,45.0,0.0,0.0,4.0,4.0
2009-05-31,40.0,0.0,0.0,4.0,4.0
2009-06-07,35.0,0.0,0.0,4.0,7.0
2009-06-14,61.0,0.0,0.0,4.0,11.0
2009-06-21,45.0,0.0,0.0,4.0,7.0
2009-06-28,28.0,0.0,0.0,4.0,4.0
2009-07-05,35.0,0.0,0.0,4.0,4.0
2009-07-12,26.0,0.0,0.0,4.0,11.0
2009-07-19,40.0,0.0,0.0,4.0,4.0
2009-07-26,21.0,0.0,0.0,3.0,4.0
2009-08-02,46.0,0.0,0.0,3.0,4.0
2009-08-09,21.0,0.0,0.0,3.0,4.0
2009-08-16,41.0,0.0,0.0,3.0,7.0
2009-08-23,37.0,0.0,0.0,3.0,7.0
2009-08-30,52.0,0.0,0.0,3.0,7.0
2009-09-06,43.0,0.0,0.0,3.0,4.0
2009-09-13,33.0,0.0,0.0,3.0,7.0
2009-09-20,30.0,0.0,0.0,3.0,3.0
2009-09-27,54.0,0.0,0.0,3.0,7.0
2009-10-04,39.0,0.0,0.0,3.0,7.0
2009-10-11,31.0,0.0,0.0,4.0,11.0
2009-10-18,50.0,0.0,4.0,4.0,14.0
2009-10-25,49.0,0.0,0.0,0.0,7.0
2009-11-01,50.0,0.0,0.0,0.0,4.0
2009-11-08,61.0,0.0,0.0,0.0,11.0
2009-11-15,64.0,0.0,0.0,0.0,4.0
2009-11-22,31.0,0.0,0.0,0.0,7.0
2009-11-29,57.0,0.0,0.0,0.0,4.0
2009-12-06,22.0,0.0,0.0,0.0,7.0
2009-12-13,41.0,0.0,0.0,0.0,4.0
2009-12-20,30.0,0.0,0.0,0.0,5.0
2009-12-27,37.0,0.0,0.0,0.0,5.0
2010-01-03,78.0,0.0,0.0,0.0,9.0
2010-01-10,31.0,0.0,0.0,0.0,9.0
2010-01-17,52.0,0.0,0.0,0.0,9.0
2010-01-24,60.0,0.0,0.0,0.0,4.0
2010-01-31,39.0,0.0,0.0,0.0,13.0
2010-02-07,35.0,0.0,0.0,0.0,4.0
2010-02-14,57.0,0.0,0.0,0.0,4.0
2010-02-21,68.0,0.0,0.0,0.0,4.0
2010-02-28,37.0,0.0,0.0,0.0,4.0
2010-03-07,100.0,0.0,0.0,0.0,4.0
2010-03-14,65.0,0.0,0.0,0.0,16.0
2010-03-21,63.0,0.0,0.0,0.0,12.0
2010-03-28,26.0,0.0,0.0,0.0,4.0
2010-04-04,49.0,0.0,0.0,0.0,4.0
2010-04-11,57.0,0.0,0.0,0.0,4.0
2010-04-18,55.0,0.0,0.0,0.0,4.0
2010-04-25,52.0,0.0,0.0,0.0,8.0
2010-05-02,54.0,0.0,0.0,0.0,17.0
2010-05-09,85.0,0.0,0.0,0.0,4.0
2010-05-16,50.0,0.0,4.0,0.0,4.0
2010-05-23,33.0,0.0,0.0,0.0,4.0
2010-05-30,47.0,0.0,0.0,5.0,5.0
2010-06-06,44.0,0.0,0.0,0.0,9.0
2010-06-13,41.0,0.0,0.0,0.0,4.0
